district,taluka,rainfall,total_recharge,rainfall_recharge,surface_irrigation_recharge,groundwater_irrigation_recharge,canal_recharge,water_body_recharge,artificial_structure_recharge,extractable_groundwater,groundwater_extraction_total,agriculture_extraction,domestic_extraction,industrial_extraction,natural_discharge,stage_of_extraction,category,future_groundwater_availability,year
Ahmednagar,Akola,593.4604783137414,8808.14215852247,5928.357284160596,458.42409849358967,1558.8029915434163,248.62806089743592,221.31495076171677,392.6276395826637,8367.741438889034,6434.232901762452,5779.924576834534,654.3206806393887,0.0,440.4007196334369,76.89330446874695,semi_critical,2507.827394811737,2024-2025
Ahmednagar,Jamkhed,652.0,6615.209999999999,5124.87,0.0,897.76,0.0,51.56,541.016,6284.449999999999,3877.95,3591.055,286.89,0.0,330.7600000000002,61.70707062670561,safe,2406.5,2024-2025
Ahmednagar,Karjat,555.5291180648215,13020.926155663163,9350.892272351484,408.23999999999995,1779.5277453643557,71.58,52.35299279555923,1358.3411451517657,12369.887300106295,7364.237119404748,7118.165911434982,246.0616224754931,0.0,651.0388555568679,59.53358297242908,safe,5005.640180701547,2024-2025
Ahmednagar,Kopargaon,512.0,8109.602928166866,4068.9451850996975,1996.7309999999998,1677.4721046218876,213.98,48.43471836074612,104.0209200845355,7695.463538726454,7091.944972680327,6622.0763934875495,469.84830419277773,0.0,414.13938944041183,92.15747611551927,critical,1500.29,2024-2025
Ahmednagar,Nagar,616.6520156520156,13120.979154774303,9835.266289505229,0.0,1893.67690659816,0.0,401.2638943992489,990.7714543742308,12464.942716067442,8011.180325676299,7574.669393164795,436.5299590867669,0.0,656.0364387068603,66.5121187773392,safe,4501.930424920736,2024-2025
Ahmednagar,Newasa,597.1327609579756,17811.74789047726,9521.674642429138,3947.530375186222,3561.911849378843,609.9992895912869,53.8071533545809,116.82724537790973,16921.138291992265,14706.344383981384,14247.609607540147,458.7410255802993,0.0,890.6095984849962,86.40320338128205,semi_critical,3304.6313335811456,2024-2025
Ahmednagar,Parner,574.6766968172693,17717.331149485868,12341.281651043124,1820.3947239410338,1503.5259260990665,278.00601977980966,1026.480371938266,747.6379605881809,16831.473649817668,6739.419041000587,6018.766757571498,720.6609669330131,0.0,885.8574996682,41.28152430166404,safe,10092.044897103493,2024-2025
Ahmednagar,Pathardi,673.9791723018664,11613.056335416379,8638.200762263923,336.44506470505627,2138.4230940410134,80.11744192688428,149.954849513006,269.9191562021506,11032.402281780322,9032.680571569414,8553.698067540903,478.964080650393,0.0,580.6540536360571,81.87410448662312,semi_critical,2857.3459952078,2024-2025
Ahmednagar,Rhata,515.044984598554,7833.254950140909,3716.714662647202,1954.7643198251242,1925.5566303176402,160.84130040613817,16.087358840357485,59.28164258293787,7441.596980656689,7915.386781020539,7702.212380756846,213.1723035284864,0.0,391.6579694842203,106.36677586269985,over_exploited,480.00221692107186,2024-2025
Ahmednagar,Rahuri,522.7121173223799,13291.063183784767,5850.382850377091,3019.275707506906,2630.023514647796,1066.2916243758382,468.96062897641207,256.13866061384743,12626.505018169093,11158.089483455007,10763.923993703134,394.1839428591193,0.0,664.5581656156737,88.31618804662158,semi_critical,3240.741830399386,2024-2025
Ahmednagar,Sangamner,501.4374314306969,14461.474176956885,9996.258283856734,500.41598746162816,3021.101800379957,102.12847482776161,203.8310992337872,637.7423911818756,13738.416952698444,12602.273195346199,11830.797167777378,771.4887722418333,0.0,723.0572242584403,91.73016977673626,critical,2719.1726051882624,2024-2025
Ahmednagar,Shevgaon,637.8562244919538,9366.00097199298,7196.780413762991,157.603625913312,1727.1534487748272,34.298954729830896,121.64013706839408,128.5233302403005,8897.695514755862,7312.325591860048,6908.531143284348,403.7778934949131,0.0,468.3054572371184,82.18224123014043,semi_critical,2265.9042645164054,2024-2025
Ahmednagar,Shrigonda,517.4548416342957,12467.066143787666,8237.626004057664,1300.8412760589663,2052.3058356482347,284.1739802201903,141.62357373901222,450.5025800574207,11843.70963748759,8593.838045453514,8263.389293039114,330.45549291439164,0.0,623.356506300077,71.80186167774029,semi_critical,3826.7415920340727,2024-2025
Ahmednagar,Shrirampur,574.6528403389243,8303.714800830483,3884.849698445132,2448.82887090816,1641.368152584802,280.7748532448241,23.418271018913085,24.477873962181146,7888.526678852849,6928.657586789478,6565.45144386477,363.2094554031243,0.0,415.1881219776342,87.83208663492846,semi_critical,1649.4672646143433,2024-2025
Akola,Akola,803.1693453308302,7294.3417205721435,6103.29065954693,124.2502671576011,459.52321538988616,77.07054528720732,116.08260334057147,414.10718097660754,6768.949607600797,2709.93596440497,2145.6942109365305,564.0323292287032,0.21797483377558408,525.3921129713463,57.76946031725822,safe,4059.013643195826,2024-2025
Akola,Akot,770.955173815834,6999.21336362197,5883.845322474597,118.90319454610955,537.0649519469713,157.74961618598792,47.16111771961512,254.4644905480728,6541.811283476323,3144.9008925843377,2952.11211733094,192.76939160537373,0.0,457.4020801456463,63.76344996876738,safe,3396.910390891986,2024-2025
Akola,Balapur,769.6347669141607,4875.673761020386,3979.6233035909913,69.70217257550777,533.6285978867882,5.5980263675447155,14.281431088654086,272.84110484802494,4546.811132734063,2714.3428173876046,2445.1645615752004,268.9284915991586,0.26712677773627197,328.86262828632334,60.954999003311414,safe,1832.468315346459,2024-2025
Akola,Barsi Takli,763.9342598698385,6175.288754405754,4656.472179223595,78.70545780948454,804.20505035623,34.28599997439806,96.01088913534615,505.6425452131528,5706.478751791343,4031.2597667811897,3312.105250827778,719.1159873660404,0.01759618724754454,468.81000261441113,70.64356045338329,semi_critical,1675.218985010154,2024-2025
Akola,Murtizapur,815.1144400318603,5867.957915248156,4225.573291914435,85.01989076795248,899.5439447147608,43.77658548421805,63.712505920324304,550.3479390028771,5556.411224696888,3969.8869054204665,3712.8318928165463,256.94848624235044,0.08630693475584736,311.5466905512676,65.0286587359733,safe,1880.6443192764218,2024-2025
